,Date,Location,New Cases,New Deaths,New Recovered,New Active Cases,Total Cases,Total Deaths,Total Recovered,Total Active Cases,Area (km2),Population,Population Density,Increasing
0,2020-03-01,DKI Jakarta,2,0,0,2,39,20,41,-22,664,10846145,16334.31,0
1,2020-03-02,Riau,1,0,0,1,2,0,3,-1,87024,6074100,69.8,0
3,2020-03-02,DKI Jakarta,2,0,0,2,41,20,41,-20,664,10846145,16334.31,1
4,2020-03-03,DKI Jakarta,2,0,0,2,43,20,41,-18,664,10846145,16334.31,1
5,2020-03-03,Riau,0,0,0,0,2,0,3,-1,87024,6074100,69.8,0
7,2020-03-03,Jawa Barat,1,1,0,0,1,1,8,-8,35378,45161325,1276.55,0
8,2020-03-04,DKI Jakarta,2,0,0,2,45,20,41,-16,664,10846145,16334.31,1
10,2020-03-04,Jawa Barat,1,0,0,1,2,1,8,-7,35378,45161325,1276.55,1
11,2020-03-04,Riau,0,0,0,0,2,0,3,-1,87024,6074100,69.8,0
12,2020-03-05,DKI Jakarta,0,1,0,-1,45,21,41,-17,664,10846145,16334.31,0
14,2020-03-05,Jawa Barat,1,0,0,1,3,1,8,-6,35378,45161325,1276.55,1
15,2020-03-05,Riau,0,0,0,0,2,0,3,-1,87024,6074100,69.8,0
16,2020-03-06,Banten,1,0,1,0,1,5,74,-78,9663,10722374,1109.64,0
17,2020-03-06,Jawa Barat,1,0,0,1,4,1,8,-5,35378,45161325,1276.55,1
18,2020-03-06,Riau,0,0,0,0,2,0,3,-1,87024,6074100,69.8,0
20,2020-03-06,DKI Jakarta,0,0,0,0,45,21,41,-17,664,10846145,16334.31,0
21,2020-03-07,Riau,0,0,0,0,2,0,3,-1,87024,6074100,69.8,0
23,2020-03-07,Jawa Barat,0,0,0,0,4,1,8,-5,35378,45161325,1276.55,0
24,2020-03-07,DKI Jakarta,0,2,0,-2,45,23,41,-19,664,10846145,16334.31,0
25,2020-03-07,Banten,0,0,0,0,1,5,74,-78,9663,10722374,1109.64,0
27,2020-03-08,Jawa Barat,0,0,0,0,4,1,8,-5,35378,45161325,1276.55,0
28,2020-03-08,Riau,0,0,0,0,2,0,3,-1,87024,6074100,69.8,0
29,2020-03-08,Jawa Tengah,1,1,0,0,1,8,8,-15,32801,36364072,1108.64,0
30,2020-03-08,Banten,1,0,3,-2,2,5,77,-80,9663,10722374,1109.64,0
31,2020-03-08,DKI Jakarta,0,0,0,0,45,23,41,-19,664,10846145,16334.31,0
32,2020-03-09,Banten,0,0,0,0,2,5,77,-80,9663,10722374,1109.64,0
33,2020-03-09,Riau,0,0,0,0,2,0,3,-1,87024,6074100,69.8,0
34,2020-03-09,Jawa Barat,0,0,0,0,4,1,8,-5,35378,45161325,1276.55,0
35,2020-03-09,Jawa Tengah,0,0,0,0,1,8,8,-15,32801,36364072,1108.64,0
37,2020-03-09,DKI Jakarta,0,1,0,-1,45,24,41,-20,664,10846145,16334.31,0
38,2020-03-10,Jawa Tengah,0,0,0,0,1,8,8,-15,32801,36364072,1108.64,0
39,2020-03-10,Jawa Barat,0,0,0,0,4,1,8,-5,35378,45161325,1276.55,0
40,2020-03-10,DKI Jakarta,0,0,0,0,45,24,41,-20,664,10846145,16334.31,0
41,2020-03-10,Riau,0,0,0,0,2,0,3,-1,87024,6074100,69.8,0
43,2020-03-10,Sulawesi Tenggara,1,0,0,1,1,0,0,1,38068,2635461,69.23,0
44,2020-03-10,Banten,0,0,8,-8,2,5,85,-88,9663,10722374,1109.64,0
45,2020-03-11,Jawa Barat,0,1,0,-1,4,2,8,-6,35378,45161325,1276.55,0
47,2020-03-11,Banten,0,0,8,-8,2,5,93,-96,9663,10722374,1109.64,0
48,2020-03-11,Bali,1,1,0,0,1,1,3,-3,5780,4216171,729.43,0
49,2020-03-11,DKI Jakarta,0,0,0,0,45,24,41,-20,664,10846145,16334.31,0
50,2020-03-11,Sulawesi Tenggara,0,0,0,0,1,0,0,1,38068,2635461,69.23,0
51,2020-03-11,Jawa Tengah,2,1,1,0,3,9,9,-15,32801,36364072,1108.64,0
52,2020-03-11,Riau,0,0,0,0,2,0,3,-1,87024,6074100,69.8,0
53,2020-03-12,Riau,0,0,0,0,2,0,3,-1,87024,6074100,69.8,0
54,2020-03-12,Bali,0,0,0,0,1,1,3,-3,5780,4216171,729.43,0
55,2020-03-12,Sulawesi Tenggara,0,0,0,0,1,0,0,1,38068,2635461,69.23,0
57,2020-03-12,Banten,0,1,2,-3,2,6,95,-99,9663,10722374,1109.64,0
58,2020-03-12,DKI Jakarta,2,1,4,-3,47,25,45,-23,664,10846145,16334.31,0
59,2020-03-12,Jawa Tengah,0,0,0,0,3,9,9,-15,32801,36364072,1108.64,0
60,2020-03-12,Jawa Barat,1,0,0,1,5,2,8,-5,35378,45161325,1276.55,0
61,2020-03-13,DKI Jakarta,4,1,3,0,51,26,48,-23,664,10846145,16334.31,1
63,2020-03-13,Riau,0,0,0,0,2,0,3,-1,87024,6074100,69.8,0
64,2020-03-13,Bali,0,0,0,0,1,1,3,-3,5780,4216171,729.43,0
65,2020-03-13,Jawa Tengah,0,0,0,0,3,9,9,-15,32801,36364072,1108.64,0
66,2020-03-13,Banten,1,1,0,0,3,7,95,-99,9663,10722374,1109.64,0
67,2020-03-13,Sulawesi Tenggara,0,0,0,0,1,0,0,1,38068,2635461,69.23,0
68,2020-03-13,Jawa Barat,4,0,1,3,9,2,9,-2,35378,45161325,1276.55,1
69,2020-03-14,Riau,0,0,0,0,2,0,3,-1,87024,6074100,69.8,0
70,2020-03-14,Bali,0,0,0,0,1,1,3,-3,5780,4216171,729.43,0
71,2020-03-14,Jawa Barat,0,0,0,0,9,2,9,-2,35378,45161325,1276.55,0
72,2020-03-14,Sulawesi Tenggara,0,0,0,0,1,0,0,1,38068,2635461,69.23,0
73,2020-03-14,Jawa Tengah,2,0,1,1,5,9,10,-14,32801,36364072,1108.64,0
